单词,English,Arabic
错（二级）,wrong,خطأ
打篮球（二级）,play basketball,كرة السلة
大家（二级）,everyone,الجميع
到（二级）,to,وصل
得（助词）（二级）,,حصل (مساعد)
等（动词）（二级）,wait,انتظر (فعل)
弟弟（二级）,younger brother,الأخ الاصغر (فعل)
第一（二级）,first,الأول
懂（二级）,understand,فهم (فعل)
对（形容词）（二级）,right,الحق (صفة)
对（介词）（二级）,right,إلى (حرف جر)
房间（二级）,room,غرفة
非常（二级）,very,جدا
服务员（二级）,waiter,نادل
高（二级）,high,عالية
告诉（二级）,tell,أخبر
哥哥（二级）,elder brother,أخي الاكير
给（二级）,give,أعط
公共汽车（二级）,bus,حافلة
公司（二级）,company,شركة
贵（二级）,expensive,باهظة الثمن
过（助词）（二级）,pass,على (صفة)
还（副词）（二级）,return,أيضًا (ظرف)
孩子（二级）,child,طفل
好吃（二级）,yum,لذيذ
黑（二级）,black,أسود
红（二级）,red,أحمر
火车站（二级）,railway station,محطة القطار
机场（二级）,airport,مطار
鸡蛋（二级）,egg,بيض
件（二级）,piece,قطع
教室（二级）,classroom,قاعة دراسة
姐姐（二级）,elder sister,الأخت الاكبر
介绍（二级）,introduce,تقديم
进（二级）,enter,ادخل
近（二级）,near,قريب
就（二级）,just,نعم (للتأكيد)
觉得（二级）,feel,الشعور
咖啡（二级）,coffee,قهوة
开始（二级）,start,ابدأ
考试（二级）,exam,الامتحان
可能（二级）,possible,ربما
可以（二级）,ok,ممكن
课（二级）,class,درس
快（二级）,come on.,بسرعة
快乐（二级）,happy,سعيد
累（二级）,tired,متعب
离（二级）,leave,ترك
两（二级）,two,اثنان
零（二级）,zero,صفر
路（二级）,road,الطريق
旅游（二级）,travel,السفر
卖（二级）,sell,البيع
慢（二级）,slow,بطيء
忙（二级）,busy,مشغول
每（二级）,each,كل
妹妹（二级）,younger sister,الأخت الصغيره
门（二级）,door,باب
面条（二级）,noodles,نودلز
男（二级）,male,ذكر
您（二级）,you,أنت: صيغة احترام
牛奶（二级）,milk,حليب
女（二级）,female,أنثى
旁边（二级）,next to,جانب
跑步（二级）,running,الجري
便宜（二级）,cheap,رخيص
票（二级）,ticket,التذكرة
妻子（二级）,wife,الزوجة
起床（二级）,get up,الاستيقاض
千（二级）,thousand,ألف
铅笔（二级）,pencil,أقلام رصاص
晴（二级）,sunny,مشمس
去年（二级）,last year,العام الماضي
让（二级）,let,دع
日（二级）,day,يوم
上班（二级）,go to work,الذهاب إلى العمل
身体（二级）,body,البدن
生病（二级）,sick,مريض
生日（二级）,birthday,عيد ميلاد
时间（二级）,time,الوقت
事情（二级）,thing,الأشياء
手表（二级）,watch,ساعة
手机（二级）,cell phone,الهاتف المحمول
说话（二级）,speak,تحدث
送（二级）,send,إرسال
虽然……但是……（二级）,although,على الرغم من ...... ولكن ......
它（二级）,it,هو/ لغير العاقل
踢足球（二级）,play football,لعب كرة القدم
题（二级）,question,العنوان
跳舞（二级）,dance,الرقص
外（二级）,outside,خارجي
完（二级）,finish,إنهاء
玩（二级）,play,اللعب
晚上（二级）,night,مساء
往（二级）,towards,إلى
为什么（二级）,why is that?,لماذا؟
问（二级）,ask,اسأل
问题（二级）,question,سؤال
西瓜（二级）,watermelon,البطيخ
希望（二级）,hope,التمنيات
洗（二级）,wash,غسيل
小时（二级）,hour,ساعة
笑（二级）,laugh,الضحك
新（二级）,new,جديد
姓（二级）,surname,اللقب
休息（二级）,rest,استراحة
雪（二级）,snow,ثلج
颜色（二级）,color,اللون
眼睛（二级）,eye,العيون
羊肉（二级）,mutton,خروف
药（二级）,medicine,دواء
要（二级）,want,اراد
也（二级）,also,أيضاً
一起（二级）,together,معاً
一下（二级）,once,بعض الشئ
已经（二级）,already,بالفعل
意思（二级）,mean,المعنى
因为……所以……（二级）,because,لأن ...... لذلك ......
阴（二级）,yin,غائم/ظل
游泳（二级）,swimming,السباحة
右边（二级）,right,يمين
鱼（二级）,fish,سمك
远（二级）,far,بعيد
运动（二级）,sports,الحركة
再（二级）,again,مرة أخرى
早上（二级）,morning,الصباح
丈夫（二级）,husband,الزوج
找（二级）,find,ابحث عن
着（二级）,wear,استمرار/ يضاف الى الفعل او الصفه
真（二级）,true,صحيح
正在（二级）,ongoing,أنا أعمل على ذلك
知道（二级）,know,اعلم
准备（二级）,prepare,جاهز
走（二级）,let's go,الذهاب
最（二级）,most,اكثر
左边（二级）,left,اليسار
阿姨（三级）,aunt,عمة
啊（三级）,ah!,اء (تعبير صوتي)
矮（三级）,short,قصير
爱好（三级）,hobby,الهوايات
安静（三级）,quiet,هدوء
把（三级）,put,قبض شيء ما
班（三级）,class,فريق/ عمل
搬（三级）,move,تحريك/ ازاحة
办法（三级）,method,حل
办公室（三级）,office,مكتب
半（三级）,half,النصف
帮忙（三级）,help,المساعدة
包（三级）,bag,حزم
饱（三级）,full,ممتلئ
北方（三级）,north,الشمال
被（三级）,be,تسخدم لتقديم الفاعل او الفعل
鼻子（三级）,nose,أنف
比较（三级）,compare,قارن
比赛（三级）,competition,منافسة/سباق
笔记本（三级）,notebook,دفتر الملاحظات
必须（三级）,must,يجب
变化（三级）,change,التغيير
别人（三级）,others,ناس اخرين
冰箱（三级）,refrigerator,الثلاجة
不但……而且……（三级）,not only... but also...,ليس فقط ...... ولكن ايضا......
菜单（三级）,menu,قائمة الطعام
参加（三级）,participate,المشاركة
草（三级）,grass,عشب
层（三级）,layer,الطابق
差（三级）,poor,فرق
超市（三级）,supermarket,سوبر ماركت
衬衫（三级）,shirt,القميص
成绩（三级）,score,الإنجازات
城市（三级）,city,المدينة
迟到（三级）,late,متأخر
除了（三级）,except,ما عدا
船（三级）,ship,قارب
春（三级）,spring,الربيع
词典（三级）,dictionary,القاموس
聪明（三级）,smart,ذكي
打扫（三级）,clean up,التنظيف
打算（三级）,plan,ينوي
带（三级）,belt,إحضار
担心（三级）,worry,القلق
蛋糕（三级）,cake,الكعكة
当然（三级）,certainly.,بالطبع
地（助词）（三级）,ground,أرضي (صفة)
灯（三级）,lamp,خفيف (صفة)
地方（三级）,place,مكان
地铁（三级）,subway,مترو (صفة)
地图（三级）,map,خريطة
电梯（三级）,elevator,مصعد
电子邮件（三级）,email,البريد الإلكتروني
东（三级）,east,الشرق
冬（三级）,winter,شتاء
动物（三级）,animal,حيوان
短（三级）,short,قصير
段（三级）,segment,شريحة
锻炼（三级）,exercise,التمرين
多么（三级）,how,كيف
饿（三级）,hungry,جائع
耳朵（三级）,ear,الأذن
发（三级）,send,الشعر
发烧（三级）,fever,الحمى
发现（三级）,discover,العثور على
方便（三级）,convenient,مريح
放（三级）,put,وضع
放心（三级）,don't worry.,الشعور بالارتياح
分（三级）,points,المشاركة
附近（三级）,nearby,قريب
复习（三级）,review,مراجعة
干净（三级）,clean,نظيف
感冒（三级）,cold,بارد
感兴趣（三级）,interested,مهتم
刚才（三级）,just now,الآن فقط
个子（三级）,height,الطول
根据（三级）,according to,وفقًا لـ
跟（三级）,follow,مع
更（三级）,more,أكثر
公斤（三级）,kilogram,كيلو
公园（三级）,park,الحديقة
故事（三级）,story,قصة
刮风（三级）,windy,عاصف
关（三级）,close,غلق
关系（三级）,relationship,العلاقة
关心（三级）,care,الرعاية
关于（三级）,about,عن
国家（三级）,country,بلد
过（动词）（三级）,pass,على (فعل)
过去（三级）,past,مضى
还是（三级）,still,أو
害怕（三级）,afraid,الخوف
黑板（三级）,blackboard,سبورة
后来（三级）,later,لاحقًا
护照（三级）,passport,جواز السفر (اسم)
花（名词）（三级）,flower,زهرة (اسم)
花（动词）（三级）,spend,انفاق (فعل)
画（三级）,draw,رسم (اسم)
坏（三级）,bad,سيئ
欢迎（三级）,welcome,ترحيب (فعل)
还（动词）（三级）,return,أيضًا (فعل)
环境（三级）,environment,بيئة (فعل)
换（三级）,change,تغيير (فعل)
黄河（三级）,yellow river,النهر الأصفر
回答（三级）,answer,إجابة
会议（三级）,meeting,اجتماع
或者（三级）,or,أو
几乎（三级）,almost,بالكاد
机会（三级）,opportunity,فرصة
极（三级）,polar,للغاية
记得（三级）,remember,تذكّر
季节（三级）,season,الموسم
检查（三级）,check,تحقق
简单（三级）,simple,بسيط
见面（三级）,meet,لقاء
健康（三级）,health,الصحة
讲（三级）,speak,تحدث
教（三级）,teach,تعليم
角（三级）,angle,قرن
脚（三级）,foot,الأقدام
接（三级）,pick up,الروابط
街道（三级）,street,الشارع
节目（三级）,program,البرامج
节日（三级）,festival,مهرجان
结婚（三级）,get married,زواج
结束（三级）,end,النهاية
解决（三级）,solve,التسوية
借（三级）,borrow,الاقتراض
经常（三级）,often,في كثير من الأحيان
经过（三级）,go through,المرور عبر
经理（三级）,manager,مدير
久（三级）,long,زمن
旧（三级）,old,قديم
句子（三级）,sentence,الجملة
决定（三级）,decide,قرار
可爱（三级）,cute,لطيف
渴（三级）,thirst,عطشان
刻（三级）,engrave,نحت
客人（三级）,guest,الضيف/ العميل
空调（三级）,air conditioner,تكييف الهواء
口（三级）,mouth,الفم
哭（三级）,cry,البكاء
裤子（三级）,pants,بنطلون
筷子（三级）,chopsticks,عيدان تناول الطعام
蓝（三级）,blue,أزرق
老（三级）,old,قديم
离开（三级）,leave,الابتعاد/ المفارقه
礼物（三级）,gift,هدية
历史（三级）,history,التاريخ
脸（三级）,face,الوجه
练习（三级）,practice,الممارسة
辆（三级）,car,وحدة قياس (للمركبة)
聊天（三级）,chat,الدردشة
了解（三级）,understand,التفاهم
邻居（三级）,neighbor,الجيران
留学（三级）,study abroad,الدراسة في الخارج
楼（三级）,building,البناء
绿（三级）,green,الأخضر
马（三级）,horse,حصان
马上（三级）,immediately,على الفور
满意（三级）,satisfied,الرضا
帽子（三级）,hat,قبعة
米（三级）,rice,أرز
面包（三级）,bread,الخبز
明白（三级）,understand,الفهم
拿（三级）,take,خذها
奶奶（三级）,grandma,جدتي
南（三级）,south,جنوب
难（三级）,difficult,صعب
难过（三级）,sad,الحزن
年级（三级）,grade,عام
年轻（三级）,young,شاب
鸟（三级）,bird,طائر
努力（三级）,effort,يحاول جاهداً
爬山（三级）,mountain climbing,التسلق
盘子（三级）,plate,اللوحة
胖（三级）,fat,سمين
皮鞋（三级）,leather shoes,حذاء
啤酒（三级）,beer,بيرة
瓶子（三级）,bottle,زجاجات
其实（三级）,actually,في الواقع
其他（三级）,other,أخرى
奇怪（三级）,strange,غريب
骑（三级）,ride,ركوب
起飞（三级）,take off,الإقلاع
起来（三级）,stand up,انهض
清楚（三级）,clear,واضح
请假（三级）,ask for leave,طلب اجازه (فعل)
秋（三级）,autumn,الخريف
裙子（三级）,skirt,تنورة
然后（三级）,and then...,ثم
热情（三级）,enthusiasm,الحماس
认为（三级）,think,فكر
认真（三级）,serious,جدياً
容易（三级）,easy,سهلاً
如果（三级）,if,إذا
伞（三级）,umbrella,مظلة
上网（三级）,go online.,إنترنت
生气（三级）,angry,الغضب
声音（三级）,sound,الصوت
世界（三级）,world,العالم
试（三级）,try,جرب
瘦（三级）,thin,نحيف
叔叔（三级）,uncle,العم
舒服（三级）,comfortable,مريح
树（三级）,tree,الشجرة
数学（三级）,mathematics,الرياضيات
刷牙（三级）,brushing teeth,اغسل أسنانك بالفرشاة
双（三级）,double,مزدوج
水平（三级）,level,مستوى
司机（三级）,driver,سائق
太阳（三级）,sun,الشمس
特别（三级）,special,مميز
疼（三级）,pain,ألم
提高（三级）,improve,التحسين
体育（三级）,sports,الرياضة
甜（三级）,sweet,حلو
条（三级）,article,قطعه طويله
同事（三级）,colleague,الزملاء
同意（三级）,agree,موافقه
头发（三级）,hair,الشعر
突然（三级）,suddenly,فجأة
图书馆（三级）,library,المكتبة
腿（三级）,leg,الأرجل
完成（三级）,complete,النهاية
碗（三级）,bowl,وعاء
万（三级）,ten thousand,عشرة آلاف
忘记（三级）,forget,نسيان
为（三级）,for,من أجل
为了（三级）,for,لـ
位（三级）,locate,موقع
文化（三级）,culture,الثقافة
西（三级）,west,الغرب
习惯（三级）,habit,عادات
洗手间（三级）,toilet,الحمام
洗澡（三级）,take a shower,استحمام
夏（三级）,summer,الصيف
先（三级）,first,اولا
相信（三级）,believe,الإيمان
香蕉（三级）,banana,الموز
向（三级）,towards,نحو
像（三级）,like,مثل
小心（三级）,be careful,كن حذراً
校长（三级）,principal,مدير المدرسة
新闻（三级）,news,الأخبار
新鲜（三级）,fresh,طازج
信用卡（三级）,credit card,بطاقة ائتمان
行李箱（三级）,suitcase,الأمتعة
熊猫（三级）,panda,الباندا
需要（三级）,need,الحاجة
选择（三级）,choose,اختر
要求（三级）,request,اطلب
爷爷（三级）,grandpa,الجد
一般（三级）,general,عادي
一边（三级）,one side,الجانب
一定（三级）,definitely,بالتأكيد
一共（三级）,total,كلياً
一会儿（三级）,a while,لاحقا
一样（三级）,same,نفس الشيء
一直（三级）,always,دائما
以前（三级）,before,قبل
音乐（三级）,music,الموسيقى
银行（三级）,bank,البنك
饮料（三级）,beverage,المشروبات
应该（三级）,should,يجب
影响（三级）,impact,التأثير
用（三级）,use,الاستخدام
游戏（三级）,game,الألعاب
有名（三级）,famous,مشهور
又（三级）,again,أيضاً
遇到（三级）,encounter,لقاء
元（三级）,yuan,يوان
愿意（三级）,willing,رغبه
月亮（三级）,moon,القمر
越（三级）,more,المزيد
站（三级）,station,وقوف
张（三级）,zhang,ورقه
长（动词）（三级）,long,يكبر
着急（三级）,in a hurry,أن تكون في عجلة من أمرك (فعل)
照顾（三级）,take care of,اعتنِاء
照片（三级）,photo,صورة
照相机（三级）,camera,كاميرا
只（量词）（三级）,,كلمة قياس
只（副词）（三级）,only,فقط (ظرف)
只有……才……（三级）,only if,فقط ...... فقط ......
中间（三级）,middle,الأوسط
中文（三级）,chinese,اللغه الصينيه
终于（三级）,finally,أخيرًا
种（量词）（三级）,species,نوع (محدد الكمية)
重要（三级）,important,مهم
周末（三级）,weekend,عطلة نهاية الأسبوع
主要（三级）,main,رئيسي
注意（三级）,attention,الاهتمام
自己（三级）,himself,بنفسك
自行车（三级）,bicycle,دراجة هوائية
总是（三级）,always,دائماً
嘴（三级）,mouth,الفم
最后（三级）,and finally.,الأخير
最近（三级）,recently,في الآونة الأخيرة
作业（三级）,homework,الواجبات المنزلية
爱情（四级）,love,الحب
安排（四级）,arrange,الترتيب
安全（四级）,safety,الأمان
按时（四级）,on time,في الوقت المحدد
按照（四级）,according to,وفقًا لـ
百分之（四级）,percent,في المائة
棒（四级）,good,رائع
包子（四级）,baozi,كعكة
保护（四级）,protect,حماية
保证（四级）,guarantee,مضمون
报名（四级）,sign up,التسجيل
抱（四级）,hug,احتظن
抱歉（四级）,sorry.,آسف
倍（四级）,double,مضاعفة
本来（四级）,originally,اصلا
笨（四级）,stupid,غبي
比如（四级）,for example,مثل
毕业（四级）,graduate,تخرجت
遍（四级）,all over,مره اخرى
标准（四级）,standard,معيار
表格（四级）,form,النموذج
表示（四级）,show,يشير إلى
表演（四级）,performance,أداء
表扬（四级）,praise,المديح
饼干（四级）,cookie,بسكويت
并且（四级）,and,و
博士（四级）,phd,دكتوراه
不得不（四级）,had to,يجب أن
不管（四级）,no matter what.,لا يهم
不过（四级）,but,ولكن
不仅（四级）,not only,ليس فقط
部分（四级）,part,جزئيًا
擦（四级）,wipe,فرك
猜（四级）,guess,تخمين
材料（四级）,material,المادة
参观（四级）,visit,زيارة
餐厅（四级）,restaurant,مطعم
厕所（四级）,toilet,المرحاض
差不多（四级）,almost,تقريباً
长城（四级）,great wall,السور العظيم
长江（四级）,yangtze river,نهر اليانغتسي
尝（四级）,taste,التذوق
场（四级）,field,ميدان
超过（四级）,exceed,أكثر من
成功（四级）,success,النجاح
成为（四级）,become,كن
诚实（四级）,honesty,صادق
乘坐（四级）,ride,اركب
吃惊（四级）,surprise,مفاجأة
重新（四级）,renew,إعادة/ جديد
抽烟（四级）,smoke,التدخين
出差（四级）,business trip,رحلة عمل
出发（四级）,set off,المغادرة
出生（四级）,birth,الولادة
出现（四级）,appear,المظهر
厨房（四级）,kitchen,المطبخ
传真（四级）,fax,الفاكس
窗户（四级）,window,النافذة
词语（四级）,word,الكلمات
从来（四级）,never,بداً
粗心（四级）,careless,الاهمال
存（四级）,deposit,ايداع
错误（四级）,error,خطأ
答案（四级）,answer,الإجابة
打扮（四级）,dress up,التأنق
打扰（四级）,disturb,الإزعاج
打印（四级）,print,طباعة
打招呼（四级）,say hello,تحية
打折（四级）,discount,الخصم
打针（四级）,injection,الحقن
大概（四级）,probably,على الارجح
大使馆（四级）,embassy,السفارة
大约（四级）,about,تقريبا
大夫（四级）,doctor,طبيب
戴（四级）,dai,ارتداء
当（四级）,when,متى
当时（四级）,at that time,في ذلك الوقت
刀（四级）,knife,السكين
导游（四级）,tour guide,مرشد سياحي
到处（四级）,everywhere,في كل مكان
到底（四级）,on earth,في النهاية
倒（四级）,pour,سقط/ سكب
道歉（四级）,apologize,اعتذر
得意（四级）,proud,أن تكون مسرورًا بـ (شيء ما)
得（助动词）（四级）,,يجب (فعل مساعد)
登机牌（四级）,boarding pass,بطاقة الصعود إلى الطائرة
等（助词）（四级）,wait,إلخ (صفة)
低（四级）,low,منخفض
底（四级）,bottom,اسفل
地点（四级）,location,الموقع
地球（四级）,earth,الكرة الأرضيه
地址（四级）,address,العنوان
调查（四级）,survey,التحقيقات
掉（四级）,drop,إسقاط
丢（四级）,lose,الرمي
动作（四级）,action,الحركه
堵车（四级）,traffic jam,ازدحام مروري
肚子（四级）,belly,المعدة
短信（四级）,sms,الرسائل القصيرة
对话（四级）,dialogue,الحوار
对面（四级）,opposite,مقابل
对于（四级）,for,لـ
儿童（四级）,child,الأطفال
而（四级）,while,و
发生（四级）,happen,الحدث
发展（四级）,develop,التنمية
法律（四级）,law,القوانين
翻译（四级）,translate,الترجمة
烦恼（四级）,trouble,الالام
反对（四级）,be opposed to,المعارضة
方法（四级）,method,الأساليب
方面（四级）,aspect,الجوانب
方向（四级）,direction,الاتجاهات
房东（四级）,landlord,المالك
放弃（四级）,give up,التخلي
放暑假（四级）,summer vacation,خذ عطلة صيفية
放松（四级）,relax,الاسترخاء
份（四级）,share,حصه
丰富（四级）,rich,وفره
否则（四级）,otherwise,غير ذلك
符合（四级）,meet,متوافق
父亲（四级）,father,الأب
付款（四级）,payment,الدفع
负责（四级）,responsible,المساءله
复印（四级）,copy,التصوير
复杂（四级）,complex,مجمع
富（四级）,rich,غني
改变（四级）,change,التغيير
干杯（四级）,cheers.,نخبك
赶（四级）,rush,الاندفاع
敢（四级）,dare,الجرأة
感动（四级）,moved,حرك
感觉（四级）,feel,الشعور
感情（四级）,emotion,مشاعر
感谢（四级）,thanks.,ممتن
干（四级）,do,جاف
刚（四级）,just,عصابة
高速公路（四级）,expressway,الطريق السريع
胳膊（四级）,arm,الأذرع
各（四级）,each,كل منها
工资（四级）,salary,الراتب
公里（四级）,kilometer,الكيلومترات
功夫（四级）,kung fu,الكونغ فو
共同（四级）,common,مشترك
购物（四级）,shopping,التسوق
够（四级）,enough,يكفي
估计（四级）,estimate,تقديري
鼓励（四级）,encourage,التشجيع
故意（四级）,intentional,عن قصد
顾客（四级）,customer,العميل
挂（四级）,hang,تعليق
关键（四级）,key,الكلمه المفتاحية
观众（四级）,audience,الجمهور
管理（四级）,manage,الإدارة
光（四级）,light,الضوء
广播（四级）,broadcast,البث الإذاعي
广告（四级）,advertisement,الإعلانات
逛（四级）,shop around,التسوق
规定（四级）,provide,اللوائح
国籍（四级）,nationality,الجنسية
国际（四级）,international,الدولي
果汁（四级）,juice,العصير
过程（四级）,process,المعالجة
海洋（四级）,ocean,المحيط
害羞（四级）,shy,الخجل
寒假（四级）,winter vacation,العطلات الشتوية
汗（四级）,sweat,العرق
航班（四级）,flight,الطيران
好处（四级）,benefit,الفوائد
好像（四级）,like,كما لو أن
号码（四级）,number,الرقم
合格（四级）,qualified,مؤهل
合适（四级）,suitable,مناسب
盒子（四级）,box,صندوق
后悔（四级）,regret,الندم
厚（四级）,thick,سميك
互联网（四级）,internet,إنترنت
互相（四级）,each other,متبادل
护士（四级）,nurse,ممرضة
怀疑（四级）,doubt,الشك
回忆（四级）,memory,الذكريات
活动（四级）,activity,النشاط
活泼（四级）,lively,حيوية
火（四级）,fire,نار
获得（四级）,obtain,الحصول على
积极（四级）,positive,ايجابي
积累（四级）,accumulate,التراكم
基础（四级）,foundation,التأسيس
激动（四级）,excited,الإثارة
及时（四级）,timely,في الوقت المناسب
即使（四级）,even though,حتى لو
计划（四级）,plan,خطة
记者（四级）,reporter,المراسل
技术（四级）,technology,تقني
既然（四级）,since,منذ
继续（四级）,continue,متابعه
寄（四级）,send,إرسال
加班（四级）,overtime,العمل الإضافي
加油站（四级）,gas station,محطات البنزين
家具（四级）,furniture,الأثاث
假（四级）,fake,مزيف
价格（四级）,price,السعر
坚持（四级）,insist,المثابرة
减肥（四级）,lose weight,فقدان الوزن
减少（四级）,reduce,تخفيض
建议（四级）,suggestion,موصى به
将来（四级）,future,المستقبل
奖金（四级）,bonus,المكافأة
降低（四级）,lower,منخفض
降落（四级）,landing,الهبوط
交（四级）,pay,التسليم
交流（四级）,communicate,التخاطب
交通（四级）,traffic,النقل
郊区（四级）,suburban,الضواحي
骄傲（四级）,pride,فخور
饺子（四级）,dumplings,الزلابية
教授（四级）,professor,بروفيسور
教育（四级）,education,التعليم
接受（四级）,accept,القبول
接着（四级）,then,ثم
节（四级）,festival,مهرجان
节约（四级）,save,التوفير
结果（四级）,result,النتيجة
解释（四级）,explain,الشرح
尽管（四级）,although,على الرغم من
紧张（四级）,nervous,الإجهاد
进行（四级）,proceed,التقدم
禁止（四级）,prohibit,الحظر
京剧（四级）,peking opera,أوبرا بكين
经济（四级）,economy,الاقتصاد
经历（四级）,experience,تجربه
经验（四级）,experience,خبره
精彩（四级）,wonderful,رائع
景色（四级）,scenery,المناظر الطبيعية
警察（四级）,police,الشرطة
竞争（四级）,competition,المنافسة
竟然（四级）,unexpectedly,مفاجأة
镜子（四级）,mirror,مرآة
究竟（四级）,after all,بالضبط
举（四级）,lift,الرفع
举办（四级）,hold,تنظيم
举行（四级）,hold,عقد
拒绝（四级）,reject,الإنكار
距离（四级）,distance,المسافة
聚会（四级）,party,حفلة
开玩笑（四级）,joke,نكتة
开心（四级）,happy,سعيد
看法（四级）,opinion,عرض
考虑（四级）,consider,النظر
烤鸭（四级）,roast duck,بطة مشويه
科学（四级）,science,علم
棵（四级）,,الشجرة
咳嗽（四级）,cough,السعال
可怜（四级）,pitiful,الشفقة
可是（四级）,but,لكن
可惜（四级）,pity,الشفقة
客厅（四级）,living room,غرفة المعيشة
肯定（四级）,definitely,بالتأكيد
空（四级）,empty,فارغة
空气（四级）,air,هواء
恐怕（四级）,i'm afraid so.,خائف
苦（四级）,bitter,مر
矿泉水（四级）,mineral water,مياه معدنية
困（四级）,sleepy,نعسان
困难（四级）,difficult,صعوبة
